5.1	3.5	1.4	0.2	1	9.00222e-45	2.49527e-34	
4.9	3	1.4	0.2	1	1.55649e-31	8.07539e-28	
4.7	3.2	1.3	0.2	1	1.38747e-36	1.46313e-29	
4.6	3.1	1.5	0.2	1	2.55445e-32	8.02029e-26	
5	3.6	1.4	0.2	1	3.01918e-47	1.09104e-34	
5.4	3.9	1.7	0.4	1	8.50798e-46	1.18927e-34	
4.6	3.4	1.4	0.3	1	1.24391e-36	1.97151e-28	
5	3.4	1.5	0.2	1	6.85909e-41	2.16789e-31	
4.4	2.9	1.4	0.2	1	4.70688e-28	7.7612e-24	
4.9	3.1	1.5	0.1	1	2.27259e-36	2.62671e-28	
5.4	3.7	1.5	0.2	1	2.76846e-50	2.55356e-37	
4.8	3.4	1.6	0.2	1	2.31245e-39	9.86937e-29	
4.8	3	1.4	0.1	1	1.56524e-34	5.9587e-28	
4.3	3	1.1	0.1	1	7.09595e-35	2.71024e-27	
5.8	4	1.2	0.2	1	1.82179e-63	2.35195e-47	
5.7	4.4	1.5	0.4	1	9.9277e-65	6.16995e-46	
5.4	3.9	1.3	0.4	1	3.28574e-50	1.24647e-39	
5.1	3.5	1.4	0.3	1	4.44805e-41	2.86049e-33	
5.7	3.8	1.7	0.3	1	1.52507e-47	1.74243e-36	
5.1	3.8	1.5	0.3	1	2.70189e-48	2.58113e-35	
5.4	3.4	1.7	0.2	1	2.19284e-39	8.94984e-31	
5.1	3.7	1.5	0.4	1	1.49042e-41	7.6497e-33	
4.6	3.6	1	0.2	1	4.42457e-48	1.03349e-34	
5.1	3.3	1.7	0.5	1	5.95178e-26	2.01292e-24	
4.8	3.4	1.9	0.2	1	4.71436e-36	3.33079e-24	
5	3	1.6	0.2	1	8.00733e-30	7.30415e-26	
5	3.4	1.6	0.4	1	1.27273e-32	8.78616e-28	
5.2	3.5	1.5	0.2	1	4.45639e-44	9.63306e-34	
5.2	3.4	1.4	0.2	1	2.98138e-42	7.7803e-34	
4.7	3.2	1.6	0.2	1	4.5534e-34	3.65989e-26	
4.8	3.1	1.6	0.2	1	6.49656e-32	7.65116e-26	
5.4	3.4	1.5	0.4	1	1.12286e-34	1.98367e-31	
5.2	4.1	1.5	0.1	1	1.27567e-66	3.51365e-41	
5.5	4.2	1.4	0.2	1	1.64679e-67	1.74675e-45	
4.9	3.1	1.5	0.1	1	2.27259e-36	2.62671e-28	
5	3.2	1.2	0.2	1	3.75079e-38	1.73642e-32	
5.5	3.5	1.3	0.2	1	1.96031e-46	7.62164e-38	
4.9	3.1	1.5	0.1	1	2.27259e-36	2.62671e-28	
4.4	3	1.3	0.2	1	6.78994e-31	1.34182e-25	
5.1	3.4	1.5	0.2	1	4.02095e-41	5.10183e-32	
5	3.5	1.3	0.3	1	1.30002e-41	1.36886e-33	
4.5	2.3	1.3	0.3	1	4.04513e-15	3.58518e-19	
4.4	3.2	1.3	0.2	1	2.17464e-35	3.26219e-27	
5	3.5	1.6	0.6	1	1.09095e-27	5.39763e-25	
5.1	3.8	1.9	0.4	1	2.15583e-39	3.25883e-28	
4.8	3	1.4	0.3	1	3.2424e-28	3.25005e-26	
5.1	3.8	1.6	0.2	1	2.01666e-51	5.13315e-35	
4.6	3.2	1.4	0.2	1	1.7395e-35	8.04023e-28	
